dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Wulczyn et al.	Wulczyn et al.	22	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8023450236174393	0.1233098972417523	0.09540547326136078	0.10757761630650184	28.948974916195784	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.51568725099602
Wulczyn et al.	Wulczyn et al.	23	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.803494544998537	0.12114656571119524	0.09492329858462581	0.1064436418931762	29.180321840298035	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	42.64625482445219
Wulczyn et al.	Wulczyn et al.	24	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8061070935919408	0.13012439156300704	0.10268886043533931	0.11479007633587787	28.304953063500545	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.29578171688247
Wulczyn et al.	Wulczyn et al.	25	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8083747857710153	0.11703623580313684	0.09612651030561478	0.10555582654504657	29.97123194221708	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.439542610806775
Wulczyn et al.	Wulczyn et al.	26	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.804988922793964	0.12449972958355868	0.09822495306366275	0.10981252683299147	30.203613567769874	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.084194472111555
Wulczyn et al.	Wulczyn et al.	27	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8026376290599005	0.12504056246619794	0.09671212247971221	0.10906689310312292	29.070407418232918	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	39.96490600099602
Wulczyn et al.	Wulczyn et al.	28	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8073193161392802	0.11855056787452677	0.09626701800614844	0.10625302956858942	28.191791482527947	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	47.4720687562251
Wulczyn et al.	Wulczyn et al.	29	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.811154537474397	0.11746890210924824	0.09874522640480088	0.1072963493553327	30.119474893229583	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	43.8378828436255
Wulczyn et al.	Wulczyn et al.	30	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8074656188605108	0.12244456462952948	0.09892510705234642	0.10943542150038671	29.92269757145978	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.93051621638446
Wulczyn et al.	Wulczyn et al.	31	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8049262216277223	0.11822606814494321	0.0941592005513439	0.10482904138493264	30.00932116391233	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.58817853585657
